Serial Number,Topic,Question,Answer
6031,Profit and Loss,Find the selling price if the cost price is 426 and the profit is 47%.,Profit of 265
6032,Algebra,Solve for x: 4x = 7.,-1.75
6033,Profit and Loss,"Calculate the profit or loss if a product is bought for 619, marked at 1213, and sold for 786.",Profit of 167
6034,Average,"What is the average of the cubes of these numbers: [3, 1, 4, 3]?",29.75
6035,Time and Work,Calculate the number of days required for 20 to complete the same work done by 10 in 41 days.,20.5
6036,Average,"Calculate the average of the reciprocals of the numbers: [5, 8, 6, 6].",6.08
6037,Average,"Find the average of the following numbers, excluding the largest and smallest: [50, 100, 13, 79, 86].",65.6
6038,Time and Work,"If 9 persons complete a work in 40 days, how long will it take for 1 person?",360
6039,Ratio and Proportion,"Given the ratio 16:85 and b = 36, find the value of a.",239.0625
6040,Time and Work,Calculate the total time if 9 work for 17 days and then 27 complete the rest of the work.,23.0
6041,Time and Work,Calculate the number of days required for 16 to complete the same work done by 8 in 22 days.,11.0
6042,Algebra,Determine the value of x if 6x + 4 = -1.,-0.8333333333333334
6043,Profit and Loss,What is the profit/loss percentage if the cost price is 635 and the selling price is 768?,Loss of 133
6044,Numbers,Is the number 97 divisible by any number other than 1 and itself?,No
6045,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 36.875 km/h for 40 hours.,196
6046,Time and Work,7 people finish a task in 39 days. How long will 1 person take?,273
6047,Time Speed Distance,A car is moving at a speed of 54 km/h for 2 hours. How far does it travel?,108
6048,Ratio and Proportion,"If the ratio of a to b is 15:96, and b = 49, what is the value of a?",7.65625
6049,Time and Work,"If 8 people can do a job in 25 days, how many days will 4 take?",50.0
6050,Profit and Loss,What is the loss if the cost price is 493 and the selling price is 995?,Loss of 502
6051,Time Speed Distance,What is the average speed of a car that covers 114 km in 3 hours?,114
6052,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 28 hours, but Pipe B empties it in 49 hours, and both are used simultaneously?",15.35
6053,Numbers,Is 41 a perfect square and also a prime number?,Yes
6054,Algebra,Determine the roots of the quadratic equation 4x² + 3x + -5 = 0.,"(0.8, -1.55)"
6055,Average,"Calculate the average of the reciprocals of the numbers: [10, 3, 9, 2].",3.83
6056,Pipes and Cisterns,"If Pipe A can fill a tank in 41 hours, and Pipe B can empty it in 30 hours, find the time required to fill the tank if both are used together for 9 hours.",-0.08
6057,Percentage,"If the original price is 506, what is 71% discount?",146.74
6058,Time Speed Distance,"If a car travels for 10 hours at 68 km/h and then for 3 hours at 79 km/h, what is the total distance?",640
6059,Average,Determine the average of the first 10 natural numbers.,34.6
6060,Pipes and Cisterns,"Pipe A can fill a tank in 10 hours, and Pipe B can fill it in 42 hours. How long will it take both pipes to fill the tank together?",8.08
6061,Ratio and Proportion,"If the ratio 43:20 is tripled, what are the new values of a and b?",129:60
6062,Numbers,What is the next integer after 37?,Yes
6063,Time and Work,How long will it take for 2 to complete the same work done by 4 in 20 days?,40.0
6064,Time and Work,"If 4 can complete a job in 23 days, what fraction of the job can 92 complete in one day?",5.75
6065,Time Speed Distance,"If a car travels for 1 hours at 82 km/h and then for 10 hours at 60 km/h, what is the total distance?",79
6066,Algebra,Determine the solution to the equation 7x + 8 = 2.,-0.8571428571428571
6067,Average,"Find the mean value if 1 is added to each of the numbers in the set [53, 47, 61, 8, 71].",49.0
6068,Pipes and Cisterns,"Pipes A and B can fill a tank in 33 hours and 38 hours, respectively. How long will it take if both pipes are used?",17.66
6069,Time Speed Distance,Calculate the time taken to travel 455 km at a speed of 65 km/h.,7.0
6070,Average,"Calculate the geometric mean of the numbers: [1, 10, 2, 9].",3.66
6071,Pipes and Cisterns,"Pipe A can fill a tank in 22 hours, and Pipe B can fill it in 33 hours. How long will it take both pipes to fill the tank together?",13.2
6072,Pipes and Cisterns,"If Pipe A fills a tank in 42 hours, and Pipe B can fill 0.58 of it in 47 hours, how long will it take both pipes to fill the tank?",43.96
6073,Profit and Loss,"If a product's marked price is 1236 and it is sold at a discount of 48%, find the profit or loss.",Loss of 74
6074,Time and Work,Determine the time taken if 8 work half the time and 16 work the other half to complete the job in 48 days.,24.0
6075,Profit and Loss,"Calculate the marked price if a discount of 39% leads to a selling price of 908.29, given the cost price is 459.",Profit of 449.29
6076,Pipes and Cisterns,"If Pipe A can fill a tank in 25 hours, and Pipe B can empty it in 25 hours, find the time required to fill the tank if both are used together for 9 hours.",0.0
6077,Percentage,Determine the value when 481 is increased by 14% and then decreased by 44%.,548.34
6078,Algebra,Determine the value of x if 3x + 1 = 3.,0.6666666666666666
6079,Ratio and Proportion,"For the ratio 53:56, what is the value of b if a = 51?",53.886792452830186
6080,Numbers,Is 18 a natural number?,Yes
6081,Average,"What is the average of the square of these numbers: [8, 4, 2, 9, 4]?",36.2
6082,Time and Work,Determine the time taken if 2 work half the time and 4 work the other half to complete the job in 30 days.,15.0
6083,Average,"If the average of 10, 35, and 64 is 36.333333333333336, what is the total sum?",109.0
6084,Time Speed Distance,"Calculate the distance covered if a car travels at 66 km/h for 8 hours, then stops for 2 hours, and continues at 59 km/h.",528
6085,Ratio and Proportion,"Given the ratio 4:17 and b = 18, find the value of a.",140.25
6086,Profit and Loss,A product was bought for 456 and sold for 749. Calculate profit or loss.,Profit of 293
6087,Time Speed Distance,Calculate the total distance if a car travels for 3 hours at a constant speed of 71 km/h.,213
6088,Algebra,Solve the quadratic equation 3x² + 10x + 1 = 0.,"(-0.1, -3.23)"
6089,Percentage,"If 563 is 94% more than another value, what is that value?",290.2061855670103
6090,Algebra,Determine the solution to the equation 2x + 7 = 0.,-3.5
6091,Profit and Loss,"If a product is sold at a loss of 15%, what was its cost price if the selling price is 653?",Loss of 200
6092,Time Speed Distance,How far will a car travel if it goes at 38 km/h for 6 hours?,228
6093,Algebra,Solve the equation 3x² + 9x + 2 = 0 for x.,"(-0.24, -2.76)"
6094,Algebra,Determine the solution to the equation 2x + -4 = -1.,1.5
6095,Percentage,Determine the percentage change from 914 to 968.,5.908096280087528
6096,Numbers,Is 86 a perfect square and also a prime number?,No
6097,Time Speed Distance,"If a car travels for 7 hours at 76 km/h and then for 10 hours at 40 km/h, what is the total distance?",217
6098,Algebra,Find the value of x if 2x + -7 = 0.,3.5
6099,Time and Work,"If 7 people can do a job in 48 days, how long will it take if 14 people work?",24.0
6100,Profit and Loss,"If the cost price of a product is 437 and it is sold after a discount of 19% on the marked price of 1009, calculate the profit/loss.",Loss of 416
6101,Numbers,Find the next composite number after 11.,No
6102,Numbers,Find the next composite number after 77.,Yes
6103,Time Speed Distance,"If a vehicle moves at 33 km/h for 3 hours, what is the distance covered?",99
6104,Numbers,Is 15 a natural number?,Yes
6105,Time and Work,Calculate the number of days required for 4 to complete the same work done by 2 in 36 days.,18.0
6106,Ratio and Proportion,"If the ratio 75:62 is tripled, what are the new values of a and b?",225:186
6107,Pipes and Cisterns,"If Pipe A can fill a tank in 42 hours, and Pipe B can empty it in 17 hours, find the time required to fill the tank if both are used together for 13 hours.",-0.46
6108,Time and Work,Calculate the number of days required for 10 to complete the same work done by 5 in 39 days.,19.5
6109,Ratio and Proportion,"In a ratio of 80:96, find the value of b if a = 9.",10.8
6110,Average,"If the sum of [39, 56, 11, 51, 100] is 257, what is the average?",51.4
6111,Average,"Calculate the harmonic mean of the following numbers: [45, 19, 55, 80].",37.9
6112,Percentage,"If 52% of a number is 9474, what is the number?",18219.23076923077
6113,Average,"What is the average of the given numbers: [28, 8, 53, 91, 41]?",44.2
6114,Ratio and Proportion,Solve for the ratio 6:92 if a + b = 17 and a = 2.,15
6115,Algebra,"If 5x + -10 = -3, what is the value of x?",1.4
6116,Numbers,Find the next composite number after 32.,Yes
6117,Algebra,"For the equation 1x + -6 = 4, calculate x.",10.0
6118,Algebra,"For the equation 5x + -6 = 0, find x.",0.8
6119,Average,"What is the average of the cubes of these numbers: [1, 2, 1, 4]?",18.5
6120,Time Speed Distance,"If a car accelerates from 36 km/h to 132 km/h in 7 hours, what is the total distance covered?",630
6121,Pipes and Cisterns,"Pipe A fills a tank in 34 hours, Pipe B in 11 hours, and Pipe C empties it in 10 hours. If all three are used for 14 hours, how much of the tank is filled?",1.68
6122,Time and Work,Calculate the total time if 2 work for 25 days and then 6 complete the rest of the work.,33.33
6123,Numbers,Is 55 a prime number if it is greater than 102?,No
6124,Profit and Loss,What is the profit if the selling price is 340 and the cost price is 147?,Profit of 193
6125,Time Speed Distance,Determine the distance covered by a train traveling at 96 km/h for 9 hours.,864
6126,Average,"If the average of 84, 64, and ? is 58, find the missing number if one is unknown.",26
6127,Profit and Loss,"If a product costs 707 and sells for 983, what is the profit/loss?",Loss of 276
6128,Time and Work,Calculate the number of days required for 16 to complete the same work done by 8 in 34 days.,17.0
6129,Time Speed Distance,What is the average speed of a car that covers 84 km in 4 hours?,84
6130,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 23 and 25 hours, respectively?",11.98
6131,Time Speed Distance,What is the average speed of a car that covers 267 km in 3 hours?,267
6132,Profit and Loss,A product is bought at 203 and sold at a profit of 71.05. What is the selling price?,Profit of 658
6133,Percentage,"If the original price is 762, what is 52% discount?",365.76
6134,Ratio and Proportion,"If the ratio of a to b is 9:100, and b = 27, what is the value of a?",2.43
6135,Percentage,Calculate 52% of 253 and then subtract it from the original value.,12211.538461538461
6136,Numbers,Is 56 a composite number?,Yes
6137,Algebra,"For the equation 4x + 4 = 2, calculate x.",-0.5
6138,Pipes and Cisterns,"Given that Pipe A fills a tank in 13 hours and Pipe B in 23 hours, calculate the time taken when both pipes are used together.",8.31
6139,Algebra,Find the solution to the equation 10x² + 2x + 0 = 0.,"(0.0, -0.2)"
6140,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 31.555555555555557 km/h for 34 hours.,510
6141,Numbers,Is the number 96 both prime and an integer?,No
6142,Numbers,Find the smallest integer greater than 43.,Yes
6143,Profit and Loss,A product was bought for 750 and sold for 449. Calculate profit or loss.,Loss of 301
6144,Ratio and Proportion,"Given the ratio 46:92 and a = 96, what is b?",192.0
6145,Pipes and Cisterns,"Pipe A can fill a tank in 46 hours, and Pipe B in 45 hours, but Pipe C can empty it in 25 hours. Find the time taken to fill the tank if all three pipes are used.",252.44
6146,Numbers,What is the next integer after 92?,Yes
6147,Percentage,What is the final value when 52% of 939 is added to it?,1427.28
6148,Average,"What is the average of the cubes of these numbers: [3, 5, 1, 1]?",38.5
6149,Numbers,Find the next composite number after 57.,Yes
6150,Pipes and Cisterns,"Given that Pipe A fills a tank in 43 hours and Pipe B in 50 hours, calculate the time taken when both pipes are used together.",23.12
6151,Algebra,"For the equation 1x + 7 = -5, calculate x.",-12.0
6152,Algebra,Find the solution to the equation 5x² + 10x + -3 = 0.,"(0.26, -2.26)"
6153,Profit and Loss,"If the cost price of a product is 292 and it is sold after a discount of 32% on the marked price of 1047, calculate the profit/loss.",Loss of 55
6154,Percentage,"If 30% of a number is 1354, what is the number?",4513.333333333333
6155,Time and Work,How many days will it take for 1 person to do a job if 5 people can do it in 23 days?,115
6156,Time and Work,"If 3 people can do a job in 46 days, how long will it take if 6 people work?",23.0
